region_code,Year,Vaccine,Vaccinated,Target,Coverage,Not Covered,Unvaccinated,region_name
EMR,2016,MCV2,14628000.0,18894000.0,77.42140362019688,22.578596379803116,4266000.0,E. Mediterranean
EMR,2016,PCV3,9110000.0,11319000.0,80.48414170863151,19.515858291368488,2209000.0,E. Mediterranean
EMR,2016,Pol3,16537000.0,20046000.0,82.49526089993016,17.50473910006984,3509000.0,E. Mediterranean
EMR,2016,RCV1,9488000.0,10405000.0,91.18692936088419,8.813070639115807,917000.0,E. Mediterranean
EMR,2016,Rotac,4145000.0,5279000.0,78.51865883690093,21.481341163099074,1134000.0,E. Mediterranean
EMR,2017,BCG,17826000.0,20510000.0,86.91370063383715,13.086299366162848,2684000.0,E. Mediterranean
EMR,2017,DTP1,17534000.0,20031000.0,87.53432180120812,12.465678198791878,2497000.0,E. Mediterranean
EMR,2017,DTP3,16535000.0,20031000.0,82.54705206929259,17.45294793070741,3496000.0,E. Mediterranean
EMR,2017,Hepb3,16713000.0,20031000.0,83.43567470420848,16.56432529579152,3318000.0,E. Mediterranean
EMR,2017,Hepbb,7350000.0,10161000.0,72.3354000590493,27.664599940950694,2811000.0,E. Mediterranean
EMR,2017,Hib3,16538000.0,20031000.0,82.56202885527432,17.43797114472568,3493000.0,E. Mediterranean
EMR,2017,IPV1,8511000.0,13756000.0,61.8711834835708,38.1288165164292,5245000.0,E. Mediterranean
EMR,2017,MCV1,16584000.0,20031000.0,82.79167290699417,17.208327093005835,3447000.0,E. Mediterranean
EMR,2017,MCV2,14782000.0,18959000.0,77.96824727042565,22.03175272957435,4177000.0,E. Mediterranean
EMR,2017,PCV3,9916000.0,12616000.0,78.5986049461002,21.401395053899805,2700000.0,E. Mediterranean
EMR,2017,Pol3,16597000.0,20031000.0,82.85657231291498,17.143427687085023,3434000.0,E. Mediterranean
EMR,2017,RCV1,9478000.0,10358000.0,91.50415138057541,8.495848619424592,880000.0,E. Mediterranean
EMR,2017,Rotac,5184000.0,11364000.0,45.61774023231256,54.38225976768744,6180000.0,E. Mediterranean
EMR,2018,BCG,18057000.0,20343000.0,88.76271936292582,11.237280637074178,2286000.0,E. Mediterranean
EMR,2018,DTP1,17709000.0,19866000.0,89.14225309574147,10.857746904258534,2157000.0,E. Mediterranean
EMR,2018,DTP3,16727000.0,19866000.0,84.19913419913419,15.800865800865807,3139000.0,E. Mediterranean
EMR,2018,Hepb3,16790000.0,19866000.0,84.51625893486359,15.483741065136414,3076000.0,E. Mediterranean
EMR,2018,Hepbb,7384000.0,9965000.0,74.09934771700954,25.900652282990464,2581000.0,E. Mediterranean
EMR,2018,Hib3,16729000.0,19866000.0,84.20920165106212,15.790798348937884,3137000.0,E. Mediterranean
EMR,2018,IPV1,12217000.0,17357000.0,70.3865875439304,29.613412456069597,5140000.0,E. Mediterranean
EMR,2018,MCV1,16622000.0,19866000.0,83.67059297291856,16.329407027081444,3244000.0,E. Mediterranean
EMR,2018,MCV2,14746000.0,18871000.0,78.14106300672991,21.858936993270092,4125000.0,E. Mediterranean
